"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021"
1;"la Seu";1;11;65;125;123;134;99;115;168;137;79;45
2;"la Xerea";1;12;65;126;136;144;123;142;127;170;77;21
3;"el Carme";1;13;65;270;227;260;237;214;228;283;195;89
4;"el Pilar";1;14;65;189;216;187;205;177;213;259;161;53
5;"el Mercat";1;15;65;123;161;152;138;113;161;131;120;37
6;"Sant Francesc";1;16;65;157;141;151;175;171;188;229;145;60
7;"Russafa";2;21;65;819;740;742;728;783;733;797;545;229
8;"el Pla del Remei";2;22;65;184;181;209;134;173;177;165;163;78
9;"Gran Via";2;23;65;291;269;210;291;250;300;341;208;72
10;"el Botànic";3;31;65;294;226;258;246;270;258;266;153;88
11;"la Roqueta";3;32;65;192;195;169;191;181;197;188;111;58
12;"la Petxina";3;33;65;414;413;452;455;393;451;501;318;145
13;"Arrancapins";3;34;65;622;647;675;599;631;697;727;443;179
14;"Campanar";4;41;65;369;365;347;353;345;376;363;245;87
15;"les Tendetes";4;42;65;186;166;195;151;222;195;219;123;42
16;"el Calvari";4;43;65;233;236;243;219;251;227;233;117;55
17;"Sant Pau";4;44;65;474;529;525;564;571;605;615;391;138
18;"Marxalenes";5;51;65;344;298;320;312;344;404;342;238;121
19;"Morvedre";5;52;65;362;297;251;355;330;331;346;230;78
20;"Trinitat";5;53;65;272;255;226;241;246;358;324;192;84
21;"Tormos";5;54;65;288;273;345;247;289;259;285;253;77
22;"Sant Antoni";5;55;65;304;306;314;295;273;333;304;199;100
23;"Exposició";6;61;65;156;151;164;165;204;203;208;114;53
24;"Mestalla";6;62;65;436;475;446;453;441;552;477;324;143
25;"Jaume Roig";6;63;65;146;174;150;163;162;183;187;123;37
26;"Ciutat Universitària";6;64;65;64;68;75;63;66;78;73;48;23
27;"Nou Moles";7;71;65;894;990;897;864;897;1110;1036;685;343
28;"Soternes";7;72;65;249;284;208;224;292;266;231;173;69
29;"Tres Forques";7;73;65;410;424;437;323;440;418;407;268;100
30;"la Fontsanta";7;74;65;208;202;249;170;175;180;187;105;48
31;"la Llum";7;75;65;182;215;204;197;230;232;190;145;60
32;"Patraix";8;81;65;702;759;709;680;745;895;792;503;241
33;"Sant Isidre";8;82;65;342;291;272;250;262;300;316;183;69
34;"Vara de Quart";8;83;65;283;301;279;258;312;305;325;197;78
35;"Safranar";8;84;65;215;215;230;197;203;218;228;149;51
36;"Favara";8;85;65;111;130;99;118;134;155;124;78;47
37;"la Raiosa";9;91;65;566;569;571;529;589;566;587;448;188
38;"l'Hort de Senabre";9;92;65;545;538;508;490;494;584;552;346;136
39;"la Creu Coberta";9;93;65;175;226;174;152;180;208;183;144;54
41;"Camí Real";9;95;65;117;140;116;128;106;134;151;113;34
42;"Mont-Olivet";10;101;65;638;635;623;563;648;590;628;421;175
43;"en Corts";10;102;65;438;398;405;396;404;428;468;314;116
44;"Malilla";10;103;65;579;619;579;562;609;611;622;359;175
45;"Fonteta de Sant Lluís";10;104;65;79;88;88;58;73;118;104;78;32
46;"na Rovella";10;105;65;306;292;302;254;292;294;334;209;76
47;"la Punta";10;106;65;68;86;84;79;70;92;71;48;13
48;"Ciutat de les Arts i les Ciències";10;107;65;166;206;172;209;231;224;249;154;63
49;"el Grau";11;111;65;340;326;301;286;317;302;359;182;89
50;"el Cabanyal-el Canyamelar";11;112;65;609;655;576;585;614;655;661;456;155
51;"la Malva-rosa";11;113;65;397;426;408;450;419;447;414;299;118
52;"Beteró";11;114;65;224;249;222;187;264;256;226;118;57
53;"Natzaret";11;115;65;180;237;227;173;193;188;188;193;62
54;"Aiora";12;121;65;778;731;760;678;729;779;731;493;218
55;"Albors";12;122;65;279;274;272;263;244;288;332;185;75
56;"la Creu del Grau";12;123;65;514;496;481;418;438;495;450;314;113
57;"Camí Fondo";12;124;65;167;149;146;130;157;159;165;97;39
58;"Penya-roja";12;125;65;383;341;421;342;377;422;404;239;119
59;"l'Illa Perduda";13;131;65;202;221;209;177;176;244;231;135;70
60;"Ciutat Jardí";13;132;65;410;390;385;423;385;411;382;260;106
61;"l'Amistat";13;133;65;277;276;257;240;250;259;306;197;55
62;"la Bega Baixa";13;134;65;162;158;185;149;140;154;180;91;48
63;"la Carrasca";13;135;65;96;92;104;115;101;98;127;62;30
64;"Benimaclet";14;141;65;758;790;720;760;787;841;939;543;210
65;"Camí de Vera";14;142;65;136;119;167;140;122;141;156;101;31
66;"Orriols";15;151;65;727;749;710;619;707;789;755;481;174
67;"Torrefiel";15;152;65;859;941;784;950;840;903;890;554;262
68;"Sant Llorenç";15;153;65;272;255;263;254;215;267;253;199;110
69;"Benicalap";16;161;65;1294;1333;1308;1240;1265;1404;1234;921;381
70;"Ciutat Fallera";16;162;65;213;202;199;233;207;232;228;128;77
71;"Benifaraig";17;171;65;24;14;18;16;18;18;35;22;9
72;"Poble Nou";17;172;65;24;42;23;26;31;39;35;27;5
73;"Carpesa";17;173;65;41;28;36;19;32;29;31;22;2
74;"Cases de Bàrcena";17;174;65;19;12;19;7;28;10;19;9;9
75;"Mauella";17;175;65;5;0;6;0;2;2;1;1;1
76;"Massarrojos";17;176;65;78;68;86;88;97;100;97;85;15
77;"Borbotó";17;177;65;15;17;14;22;20;16;17;8;3
78;"Benimàmet";18;181;65;480;528;535;466;543;455;516;389;144
79;"Beniferri";18;182;65;58;32;39;39;41;37;42;32;12
80;"el Forn d'Alcedo";19;191;65;42;44;47;37;41;27;53;37;13
81;"el Castellar-l'Oliverar";19;192;65;184;144;137;140;145;130;133;101;33
82;"Pinedo";19;193;65;80;83;48;67;53;48;46;21;19
83;"el Saler";19;194;65;53;71;56;59;65;51;58;54;23
84;"el Palmar";19;195;65;10;6;8;19;7;11;12;6;0
85;"el Perellonet";19;196;65;67;60;52;71;53;51;57;48;16
86;"la Torre";19;197;65;278;267;235;173;212;212;224;165;72
87;"Faitanar";19;198;65;33;38;39;62;75;75;84;52;15
