"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2019"
1;"la Seu";1;11;114;17,78
2;"la Xerea";1;12;114;13,17
3;"el Carme";1;13;114;21,5
4;"el Pilar";1;14;114;20,43
5;"el Mercat";1;15;114;17,66
6;"Sant Francesc";1;16;114;10,54
7;"Russafa";2;21;114;19,74
8;"el Pla del Remei";2;22;114;8,25
9;"Gran Via";2;23;114;13,62
10;"el Botànic";3;31;114;19,12
11;"la Roqueta";3;32;114;18,43
12;"la Petxina";3;33;114;19,36
13;"Arrancapins";3;34;114;18,61
14;"Campanar";4;41;114;24,34
15;"les Tendetes";4;42;114;27,28
16;"el Calvari";4;43;114;33,29
17;"Sant Pau";4;44;114;21,05
18;"Marxalenes";5;51;114;28,99
19;"Morvedre";5;52;114;24,27
20;"Trinitat";5;53;114;24,04
21;"Tormos";5;54;114;28,37
22;"Sant Antoni";5;55;114;25,12
23;"Exposició";6;61;114;10,98
24;"Mestalla";6;62;114;18,44
25;"Jaume Roig";6;63;114;12,77
26;"Ciutat Universitària";6;64;114;16,24
27;"Nou Moles";7;71;114;27,56
28;"Soternes";7;72;114;28,46
29;"Tres Forques";7;73;114;29,61
30;"la Fontsanta";7;74;114;33,58
31;"la Llum";7;75;114;27,48
32;"Patraix";8;81;114;24,72
33;"Sant Isidre";8;82;114;29,26
34;"Vara de Quart";8;83;114;27,43
35;"Safranar";8;84;114;27,35
36;"Favara";8;85;114;28,44
37;"la Raiosa";9;91;114;23,94
38;"l'Hort de Senabre";9;92;114;30,91
39;"la Creu Coberta";9;93;114;29,08
41;"Camí Real";9;95;114;26,69
42;"Mont-Olivet";10;101;114;23,09
43;"en Corts";10;102;114;25,31
44;"Malilla";10;103;114;27,18
45;"Fonteta de Sant Lluís";10;104;114;23,37
46;"na Rovella";10;105;114;31,24
47;"la Punta";10;106;114;20,11
48;"Ciutat de les Arts i les Ciències";10;107;114;19,61
49;"el Grau";11;111;114;28,54
50;"el Cabanyal-el Canyamelar";11;112;114;26,98
51;"la Malva-rosa";11;113;114;30,3
52;"Beteró";11;114;114;28,68
53;"Natzaret";11;115;114;29,73
54;"Aiora";12;121;114;29,94
55;"Albors";12;122;114;26,14
56;"la Creu del Grau";12;123;114;31,03
57;"Camí Fondo";12;124;114;24,86
58;"Penya-roja";12;125;114;16,45
59;"l'Illa Perduda";13;131;114;30,43
60;"Ciutat Jardí";13;132;114;27,59
61;"l'Amistat";13;133;114;27,96
62;"la Bega Baixa";13;134;114;20,77
63;"la Carrasca";13;135;114;24,57
64;"Benimaclet";14;141;114;24,15
65;"Camí de Vera";14;142;114;26,53
66;"Orriols";15;151;114;33,46
67;"Torrefiel";15;152;114;30,94
68;"Sant Llorenç";15;153;114;23,44
69;"Benicalap";16;161;114;29,75
70;"Ciutat Fallera";16;162;114;33,09
71;"Benifaraig";17;171;114;20,4
72;"Poble Nou";17;172;114;19,78
73;"Carpesa";17;173;114;24,83
74;"Cases de Bàrcena";17;174;114;28,14
75;"Mauella";17;175;114;28,14
76;"Massarrojos";17;176;114;18,7
77;"Borbotó";17;177;114;20,29
78;"Benimàmet";18;181;114;32,17
79;"Beniferri";18;182;114;21,9
80;"el Forn d'Alcedo";19;191;114;26,92
81;"el Castellar-l'Oliverar";19;192;114;19,92
82;"Pinedo";19;193;114;21,84
83;"el Saler";19;194;114;25,65
84;"el Palmar";19;195;114;26,35
85;"el Perellonet";19;196;114;22,07
86;"la Torre";19;197;114;28,61
87;"Faitanar";19;198;114;28,61
